 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://172.18.0.5:4444/ (Press CTRL+C to quit)
127.0.0.1 - - [24/Sep/2024 08:36:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:37:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:37:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:38:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:38:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:39:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:39:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:40:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:40:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:41:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:41:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:42:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:42:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:43:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:43:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:44:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:44:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:45:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:45:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:46:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:46:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:47:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:47:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:48:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:48:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:49:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:49:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:50:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:50:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:51:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:51:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:52:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:52:59] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:53:29] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:53:59] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:54:29] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:54:59] "GET /hi HTTP/1.1" 200 -
