 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://172.18.0.2:4444/ (Press CTRL+C to quit)
127.0.0.1 - - [24/Sep/2024 08:36:50] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:37:20] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:37:50] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:38:21] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:38:51] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:39:21] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:39:51] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:40:21] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:40:51] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:41:21] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:41:52] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:42:22] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:42:52] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:43:22] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:43:52] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:44:22] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:44:53] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:45:23] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:45:53] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:46:23] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:46:53] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:47:23] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:47:53] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:48:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:48:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:49:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:49:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:50:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:50:54] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:51:24] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:51:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:52:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:52:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:53:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:53:55] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:54:25] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:54:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:55:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:55:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:56:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:56:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:57:26] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:57:56] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:58:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:58:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:59:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 08:59:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:00:27] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:00:57] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:01:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:01:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:02:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:02:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:03:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:03:58] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:04:28] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:04:59] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:05:29] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:05:59] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:06:29] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:06:59] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:07:29] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:08:00] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:08:30] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:09:00] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:09:30] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:10:00] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:10:30] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:11:01] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:11:31] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:12:01] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:12:31] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:13:01] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:13:31] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:14:01] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:14:32] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:15:02] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:15:32] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:16:02] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:16:32] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:17:02] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:17:32] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:18:03] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:18:33] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:19:03] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:19:33] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:20:03] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:20:33] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:21:04] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:21:34] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:22:04] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:22:34] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:23:04] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:23:34] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:24:04] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:24:35] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:25:05] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:25:35] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:26:05] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:26:35] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:27:05] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:27:36] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:28:06] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:28:36] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:29:06] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:29:36] "GET /hi HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2024 09:30:06] "GET /hi HTTP/1.1" 200 -
